,
"A",
"Aarons, Edward S.","Assignment Zoraya"
"Abbott, Jeff","Distant Blood (4"
"Abbott, Jeff","Do Unto Others (1"
"Abbott, Jeff","Only Good Yankee, The(2"
"Abbott, Jeff","Promises of Home 3"
"Adams, Deborah","All the Hugry Mothers(4"
"Adams, Deborah","All the Crazy Winters (1"
"Adams, Deborah","All the Dark Disguises (3"
"Adams, Deborah","All the Deadly Beloved(5"
"Adams, Deborah","All the Great Pretenders (2"
"Adamson , Lydia","Cat in the Manger, A (1)"
"Adamson , Lydia","Dr.Nightingale Comes Home (1"
"Albert, Neil","Appointment in May"
"Albert, Neil","Burning March(3"
"Albert, Neil","Cruel April"
"Albert, Neil","February Trouble, The(2"
"Albert, Neil","January Corpse, The (1"
"Albert, Neil","Tangled June"
"Albert, Susan Wittig","Wormwood"
"Albert, Susan Witig","Mourning Gloria"
"Albert, Susan Wittig",
"Albert, Susan Wittig","Tale of Briar Bank"
"Albert, Susan Wittig","Bleeding Hearts"
"Albert, Susan Wittig","Bloodroot"
"Albert, Susan Wittig","Darling Dahlias&Cucumber Trees"
"Albert, Susan Wittig","Dead Man’s Bones"
"Albert, Susan Wittig","Dilly of a Death"
"Albert, Susan Wittig","Indigo Dying"
"Albert, Susan Wittig","Mistletoe Man"
"Albert, Susan Wittig","Nightshade"
"Albert, Susan Wittig","Spanish Dagger"
"Albert, Susan Wittig","Tale of Applebeck Orchard"
"Albert, Susan Wittig","Tale of Cockoo Brow Wood"
"Albert, Susan Wittig","Tale of Hathorn House "
"Albert, Susan Wittig","Tale of Hilltop Farm (1)"
"Albert, Susan Wittig","Tale of Holly How (2)"
"Albert, Susan  Wittig","Chile Death (7"
"Albert, Susan  Wittig","Hangman's Root (3"
"Albert, Susan  Wittig","Holly Blues"
"Albert, Susan  Wittig","Lavender Lies (8"
"Albert, Susan  Wittig","Love Lies Bleeding(6"
"Albert, Susan  Wittig","Rosemary Remembered(4"
"Albert, Susan  Wittig","Rueful Death (5"
"Albert, Susan  Wittig","Thyne of Death (1"
"Albert, Susan  Wittig","Witches' Bane(2"
"Allen, Conrad","Murder on the Marmora 5"
"Allen, Conrad","Murder on the Caronia 4"
"Allen, Conrad","Murder on the Lusitania 2"
"Allen, Conrad","Murder on the Mauretania 1"
"Allen, Conrad","Murder on the Salsette6"
"Allen, Conrad","Murder on the Celtic 8"
"Allen, Conrad","Murder on the Minnesota 3"
"Allen, Conrad","Murder on the Oceanic 7"
"Allen, Garrison","Desert Cat  (1"
"Allen, Garrison","Royal Cat (2"
"Allen, Steve","Talk Show Murders, The"
"Allingham, Margery","Allingham Case-Book, The   ss"
"Allingham, Margery","Beckoning Lady (18"
"Allingham, Margery","Black Dudley Murder, The(1"
"Allingham, Margery","Black Plumes"
"Allingham, Margery","Cargo of Eagles  (last book)(20"
